generation,N_shifts,logPrior,logLik,eventRate,acceptRate
17000,2,14.1977,-8.47519,1.32806,0.533
17100,2,13.7527,-5.77642,1.32806,0.56
17200,3,20.3183,-9.35989,1.32806,0.525
17300,3,20.3183,-11.8665,1.32806,0.52
17400,4,24.9838,-13.6004,1.16306,0.5225
17500,4,22.5234,-12.5708,5.48644,0.502
17600,4,23.3162,-13.0718,3.36851,0.521667
17700,4,28.4685,-14.6839,2.338,0.531429
17800,2,13.2339,-18.0625,1.80446,0.53875
17900,7,49.7757,-12.8446,1.80446,0.543333
18000,6,45.3148,-6.22384,2.75095,0.549
18100,4,29.2516,-6.15985,2.75095,0.49
18200,5,35.7504,-5.50408,2.75095,0.505
18300,7,46.8521,-8.60525,2.75095,0.523333
18400,5,33.2962,-7.63309,2.75095,0.535
18500,4,26.0018,-14.049,1.92647,0.542
18600,2,13.4526,-7.52971,1.92647,0.54
18700,1,5.72699,-5.35487,2.19812,0.525714
18800,2,13.4505,-15.2635,1.19816,0.51875
18900,1,7.09383,-9.96114,0.723523,0.52
19000,3,20.1884,-6.3045,0.723523,0.522
19100,2,11.3261,-2.6087,3.68838,0.57
19200,3,22.3951,-6.25175,0.899071,0.505
19300,4,29.3637,-8.06261,1.15917,0.533333
19400,7,42.8904,-1.63992,10.9201,0.55
19500,6,37.1075,-7.78666,7.15722,0.538
19600,6,41.4705,-5.58839,2.79422,0.53
19700,5,30.809,-3.03805,4.63423,0.518571
19800,6,38.4895,-4.22265,4.63423,0.51375
19900,8,53.571,-4.54968,3.71652,0.512222
20000,8,55.4843,-4.50037,3.71652,0.509
20100,7,47.7651,-5.22171,4.22771,0.63
20200,8,55.8615,-6.98119,4.22771,0.595
